AT-01,Empty Parentheses,(),Error: Empty parentheses at position 0,Error: Empty parentheses at position 0,Pass
AT-02,Scientific Notation 1,(2 ** (17/18)) / 10000,1.92e-04,1.92e-04,Pass
AT-03,Scientific Notation 2,1 / 101,9.90e-03,9.90e-03,Pass
AT-04,Negative Scientific Notation 1,9 / -1007,-8.94e-03,-8.94e-03,Pass
AT-05,Negative Scientific Notation 2,-1 * 12 ^ (-6),-3.35e-07,-3.35e-07,Pass
AT-06,Implicit multiplication 1,1(2)3(4)5,120.00,120.00,Pass
AT-07,Implicit multiplication 2,1(2 - 1)3 + 5(4 * 2)5 - (1)8,195.00,195.00,Pass
AT-08,Implicit multiplication 3,(7)((((8)))),56.00,56.00,Pass
AT-09,Extraneous parentheses 1,(((1))) + (2),3.00,3.00,Pass
AT-10,Extraneous parentheses 2, (2 - ((1 + (1)))),0.00,0.00,Pass
AT-11,Hidden divide by zero,1 / (2 - ((1 + 1))),Error: Division by zero encountered in expression,Error: Division by zero encountered in expression,Pass
AT-12,Mod by value cast to zero,6 % (1 / 1000),Error: Modulo by zero encountered in expression,Error: Modulo by zero encountered in expression,Pass
AT-13,Two methods of exponentiation,(2 ** 3) - (2 ^ 3),0.00,0.00,Pass
AT-14,Extraneous negation 1,-------------9,-9.00,-9.00,Pass
AT-15,Extraneous negation 2,-1(- (9 + 2 * (- (3 --1)))),1.00,1.00,Pass
AT-16,Leading zeroes 1 (and Jake's birthday),09/25,0.36,0.36,Pass
AT-17,Leading zeroes 2,0000001,1.00,1.00,Pass
AT-18,Leading zeroes 3,9 + 001,10.00,10.00,Pass
AT-19,Number following number,1 + 001 2 + 1,Error: Number follows number at position 8,Error: Number follows number at position 8,Pass
AT-20,Operator following operator,19 - + 2,Error: Binary operator '+' incorrectly placed at position 5,Error: Binary operator '+' incorrectly placed at position 5,Pass
AT-21,Delicious misuse of constant characters,pie,Error: Unknown word "pie" in expression,Error: Unknown word "pie" in expression,Pass
AT-22,Correct, possibly irrational, use of constants,pi(e),8.54,8.54,Pass
AT-23,Extremely long expression,51 - - - 3 + 18 - 9 + 2 - (3*6(9 - 8)) + - (24 % 13) - 7 ** 2 + (80/4) - 1,0.00,0.00,Pass
AT-24,Single unary operator,-,Error: Operator at the end of expression,Error: Operator at the end of expression,Pass
AT-25,Single unary operator (repeated),--------,Error: Operator at the end of expression,Error: Operator at the end of expression,Pass
AT-26,Unary operator follows number,1 -,Error: Operator at the end of expression,Error: Operator at the end of expression,Pass
AT-27,ASCII Sword,---)000000007,Error: Operator precedes right parenthesis at position 3,Error: Operator precedes right parenthesis at position 3,Pass
